# Column descriptions:
# id	Object ID, according to EcoCyc
# protein-count-avg	A floating point number
# protein-count-std	A floating point number
# protein-concentration-avg	A floating point number in mM units
# protein-concentration-std	A floating point number in mM units
# relative-protein-count-to-protein-rna-counts	A floating point number
# relative-protein-mass-to-total-protein-mass	A floating point number
# relative-protein-mass-to-total-cell-dry-mass	A floating point number
# validation-count	A floating point number
id	protein-count-avg	protein-count-std	protein-concentration-avg	protein-concentration-std	relative-protein-count-to-protein-rna-counts	relative-protein-mass-to-total-protein-mass	relative-protein-mass-to-total-cell-dry-mass	validation-count
EG10125-MONOMER	1208.0076456925804	362.75965429256263	0.0013954609201761615	0.00033300465662029673	971.1176254966518	0.00011501143304865913	0.000050396034180266	NaN
EG10126-MONOMER	251.371141785257	127.78448273321953	0.0002901405841995563	0.0001388716918996022	643.8733868991444	0.00013649396890121984	0.00005980931234232835	588.0
BTUC-MONOMER	16.69193721412621	14.181920442807268	0.000019324485212713006	0.000015968507828540457	147.0171937751004	4.6328692152648e-6	2.030043702058793e-6	NaN
BTUD-MONOMER	77.09573400480808	39.57119543426851	0.00008929768621028884	0.00004290962393931797	163.50504884798198	0.000016578257828708205	7.264307782612936e-6	NaN
BTUE-MONOMER	180.73371575366866	109.28813648055898	0.00020824066687347094	0.00011684877203889244	418.4361106005552	0.000029362307675733247	0.00001286605880835941	NaN
COBALADENOSYLTRANS-MONOMER	135.6457109008116	74.63391386403119	0.00015627572490247945	0.00007969417211928225	420.599906585118	0.00002368860194096524	0.000010379938423987127	5.0
LYSDECARBOX-MONOMER	1.353316085063419	6.182090026124884	1.5726795974430222e-6	7.207769787649889e-6	732.1872246696034	8.729477089278246e-7	3.8251068968159806e-7	5528.0
CADB-MONOMER	0.6864553583969287	4.33883708866393	7.979206517072157e-7	4.866564405095494e-6	701.0935550935551	2.54351090731008e-7	1.1145227846039139e-7	1766.0
PD00436	12.206877459252489	45.400597226423294	0.000014278948010502263	0.000052538650825014775	595.0301647152213	5.6020420185910965e-6	2.4547185750546973e-6	1154.0
CARBPSYN-SMALL	2277.395796904675	603.3835472421816	0.00261634426366061	0.0004079730125175674	649.9041670345705	0.0007489648213180516	0.0003281835182332892	13769.0
CARBPSYN-LARGE	2449.572445787032	673.8170301365092	0.0028126307016715715	0.00047598807816116303	699.0384992076511	0.002291238022939922	0.0010039811404693353	6985.0
EG10136-MONOMER	96.64941568262641	50.222959720990175	0.00011099853115391519	0.00005219685318469424	246.68240220706284	0.00003565178565225154	0.000015622000010714	NaN
CYTIDEAM-MONOMER	4.171301375858257	11.23443001275884	4.696212310901272e-6	0.000011991410699466007	838.7969709373721	1.0442370300743042e-6	4.57566727628368e-7	8888.0
CDPDIGLYPYPHOSPHA-MONOMER	74.46196390076885	37.60204417712508	0.00008573174485120263	0.000038282242831109926	547.2928723181425	0.00001682158140714084	7.370927994625838e-6	19076.0
CDPDIGLYSYN-MONOMER	109.96859077835023	35.530576355182454	0.00012656313389301882	0.000031941291510946	124.77184489564016	0.000027467371792247467	0.000012035730457323572	665.0
CELA-MONOMER	37.71018224676697	50.87882730790751	0.0000433969675773681	0.00005687050067161935	683.921844427216	3.4214024351925823e-6	1.4991997708215752e-6	5703.0
CELB-MONOMER	35.87014129060756	49.264598064663495	0.00004131144954117452	0.00005507144279977433	650.5503747184996	0.000013764266861979072	6.0312652825491164e-6	343.0
CELC-MONOMER	36.656505657934645	51.18477286499875	0.00004214101369829883	0.000057072024562396223	664.8120869789936	3.7076817110143906e-6	1.6246424314943947e-6	3720.0
EG10143-MONOMER	32.46048809482613	45.18556460460091	0.00003728605220417477	0.00005029057094735793	588.7120020674124	8.496916784313102e-6	3.7232029663342347e-6	2272.0
EG10144-MONOMER	32.0159834872582	45.34958945893357	0.00003684150880620862	0.00005081402036398376	580.6503488758445	0.000012837744230344636	5.625278982101194e-6	NaN
EG10145-MONOMER	27.054728991139058	39.88817866565504	0.00003110781993685311	0.00004439138982220309	555.6364966555184	0.000010701741171687648	4.689319136198855e-6	2.0
PROTEIN-CHEA	2357.4993883038815	663.4457207949644	0.0027134034876083422	0.0005110223542661537	585.2909742012463	0.00133544604877982	0.0005851695169447644	NaN
CHEB-MONOMER	1899.172091186487	534.9399477970584	0.002188412167305481	0.000433201882369455	531.7319038030696	0.0005649853668419426	0.00024756688186530355	NaN
CHER-MONOMER	1977.5542414662793	553.0804180726204	0.0022788345365383567	0.00044386986220671006	553.6774084710611	0.0005158403201025089	0.00022603236664694765	14552.0
CHEW-MONOMER	5422.50361216227	1270.6951436155316	0.006241160266634952	0.0006909954323863826	639.4407100995104	0.0007780639463657539	0.0003409342549352604	1155.0
CHEY-MONOMER	2001.9127523882612	553.8809884506775	0.0023070534225777695	0.0004421727756739395	560.4973261849221	0.00022400161182603383	0.00009815365817799528	10112.0
CHEZ-MONOMER	1959.6073073767905	537.2574308324121	0.0022591688106257755	0.00042921899564026943	548.6526097837182	0.0003727590716530107	0.00016333662156945328	24156.0
MODC-MONOMER	110.07252008622778	56.85178003305066	0.0001264904784314097	0.00005857523607763673	137.17027980010653	0.00003417499692191436	0.000014974896558837033	286.0
EG10153-MONOMER	247.45550292413137	104.12555154742292	0.00028359204111634226	0.00009747714868156481	879.3582847470379	0.00008655384716499653	0.00003792640891897433	8988.0
EG10154-MONOMER	62.09153660914755	28.09322946530644	0.00007120300442036262	0.00002734285060513619	220.6485872600223	0.000013167735546187876	5.7698755077821754e-6	2307.0
EG10155-MONOMER	6513.785615268586	1513.1702488455649	0.007488642770916567	0.00071982232048726	372.6857437816563	0.0038206095976921683	0.001674125491448188	7700.0
EG10156-MONOMER	990.970414670936	333.7949549076216	0.0011428532425025004	0.0003144850947627681	377.2877329464519	0.0006624117319345114	0.0002902574413611311	4025.0
